Cultivo;Campaña;Provincia;idProvincia;"Sup. Sembrada";Producción;Rendimiento
Algodón;2010/11;CATAMARCA;10;500;1500;3000
Algodón;2011/12;CATAMARCA;10;60;110;1833
Algodón;2017/18;CATAMARCA;10;400;1400;3500
Algodón;2022/23;CATAMARCA;10;450;1080;2400
Algodón;2023/24;CATAMARCA;10;450;1125;2500
Algodón;2024/25;CATAMARCA;10;400;1080;2700
Algodón;2010/11;CHACO;22;403600;517215;1316
Algodón;2011/12;CHACO;22;260470;270756;1226
Algodón;2012/13;CHACO;22;147200;191980;1380
Algodón;2013/14;CHACO;22;297600;485454;1702
Algodón;2014/15;CHACO;22;252300;296475;1272
Algodón;2015/16;CHACO;22;185800;265534;1478
Algodón;2016/17;CHACO;22;73930;136245;1991
Algodón;2017/18;CHACO;22;123575;260666;2134
Algodón;2018/19;CHACO;22;157607;226911;1869
Algodón;2019/20;CHACO;22;184827;337584;2058
Algodón;2020/21;CHACO;22;170468;349742;2092
Algodón;2021/22;CHACO;22;200270;339663;1845
Algodón;2022/23;CHACO;22;167780;229230;1458
Algodón;2023/24;CHACO;22;197730;241717;1336
Algodón;2024/25;CHACO;22;195960;193856;1259
Algodón;2010/11;CORDOBA;14;100;350;3500
Algodón;2011/12;CORDOBA;14;100;250;2500
Algodón;2012/13;CORDOBA;14;70;50;2500
Algodón;2013/14;CORDOBA;14;91;264;2901
Algodón;2014/15;CORDOBA;14;350;1100;3143
Algodón;2015/16;CORDOBA;14;330;925;3083
Algodón;2016/17;CORDOBA;14;750;2295;3060
Algodón;2017/18;CORDOBA;14;830;2280;3040
Algodón;2018/19;CORDOBA;14;950;2375;2500
Algodón;2019/20;CORDOBA;14;1430;3850;2962
Algodón;2020/21;CORDOBA;14;1400;3925;3140
Algodón;2021/22;CORDOBA;14;1500;3940;2662
Algodón;2022/23;CORDOBA;14;1350;1700;1259
Algodón;2023/24;CORDOBA;14;1350;3340;2474
Algodón;2024/25;CORDOBA;14;2300;4600;2000
Algodón;2010/11;CORRIENTES;18;1290;1255;1017
Algodón;2011/12;CORRIENTES;18;900;900;1000
Algodón;2012/13;CORRIENTES;18;455;668;1501
Algodón;2013/14;CORRIENTES;18;480;840;2800
Algodón;2014/15;CORRIENTES;18;530;1060;2000
Algodón;2015/16;CORRIENTES;18;900;1350;1500
Algodón;2016/17;CORRIENTES;18;900;1350;1500
Algodón;2017/18;CORRIENTES;18;210;158;752
Algodón;2018/19;CORRIENTES;18;250;330;1500
Algodón;2019/20;CORRIENTES;18;95;36;800
Algodón;2022/23;CORRIENTES;18;60;138;2300
Algodón;2010/11;"ENTRE RIOS";30;250;120;1200
Algodón;2011/12;"ENTRE RIOS";30;780;1654;2121
Algodón;2012/13;"ENTRE RIOS";30;850;1190;1400
Algodón;2013/14;"ENTRE RIOS";30;1050;1525;1452
Algodón;2014/15;"ENTRE RIOS";30;1100;1770;1609
Algodón;2015/16;"ENTRE RIOS";30;1300;810;900
Algodón;2016/17;"ENTRE RIOS";30;1400;2040;1457
Algodón;2017/18;"ENTRE RIOS";30;1600;1690;1300
Algodón;2018/19;"ENTRE RIOS";30;1100;1540;1400
Algodón;2019/20;"ENTRE RIOS";30;200;360;1800
Algodón;2020/21;"ENTRE RIOS";30;100;150;1500
Algodón;2021/22;"ENTRE RIOS";30;80;120;1500
Algodón;2010/11;FORMOSA;34;20000;24000;1200
Algodón;2011/12;FORMOSA;34;26500;30600;1200
Algodón;2012/13;FORMOSA;34;19000;22980;1229
Algodón;2013/14;FORMOSA;34;12500;11760;1040
Algodón;2014/15;FORMOSA;34;18000;18000;1500
Algodón;2015/16;FORMOSA;34;9960;13950;1500
Algodón;2016/17;FORMOSA;34;4500;6450;1500
Algodón;2017/18;FORMOSA;34;8500;12750;1500
Algodón;2018/19;FORMOSA;34;8000;10200;1500
Algodón;2019/20;FORMOSA;34;8000;11475;1500
Algodón;2020/21;FORMOSA;34;6500;11000;2000
Algodón;2021/22;FORMOSA;34;5052;3555;1435
Algodón;2022/23;FORMOSA;34;2850;2850;1000
Algodón;2023/24;FORMOSA;34;2443;3240;1326
Algodón;2024/25;FORMOSA;34;2365;2774;1173
Algodón;2010/11;SALTA;66;9280;23650;2548
Algodón;2011/12;SALTA;66;10336;27390;2650
Algodón;2012/13;SALTA;66;3000;9600;3200
Algodón;2013/14;SALTA;66;9000;27000;3000
Algodón;2014/15;SALTA;66;9800;30380;3100
Algodón;2015/16;SALTA;66;15340;37276;2430
Algodón;2016/17;SALTA;66;14930;23982;1606
Algodón;2017/18;SALTA;66;4150;13695;3300
Algodón;2018/19;SALTA;66;10492;28165;2684
Algodón;2019/20;SALTA;66;8408;24383;2900
Algodón;2020/21;SALTA;66;12396;37077;2991
Algodón;2021/22;SALTA;66;12800;35840;2800
Algodón;2022/23;SALTA;66;19520;52508;2690
Algodón;2023/24;SALTA;66;19406;44988;2318
Algodón;2024/25;SALTA;66;12550;32540;2593
Algodón;2010/11;"SAN LUIS";74;700;3010;4300
Algodón;2011/12;"SAN LUIS";74;3000;11700;3900
Algodón;2012/13;"SAN LUIS";74;2800;11200;4000
Algodón;2013/14;"SAN LUIS";74;2800;7840;2800
Algodón;2014/15;"SAN LUIS";74;2800;7560;2700
Algodón;2015/16;"SAN LUIS";74;2500;9500;3800
Algodón;2016/17;"SAN LUIS";74;4100;17630;4300
Algodón;2017/18;"SAN LUIS";74;5120;21504;4200
Algodón;2018/19;"SAN LUIS";74;6500;22750;3500
Algodón;2019/20;"SAN LUIS";74;6000;22200;3700
Algodón;2020/21;"SAN LUIS";74;4550;19110;4200
Algodón;2021/22;"SAN LUIS";74;4800;17760;3700
Algodón;2022/23;"SAN LUIS";74;4400;13480;3064
Algodón;2023/24;"SAN LUIS";74;4500;16390;3642
Algodón;2024/25;"SAN LUIS";74;4150;14810;3569
Algodón;2010/11;"SANTA FE";82;88300;180980;2155
Algodón;2011/12;"SANTA FE";82;143500;140380;1053
Algodón;2012/13;"SANTA FE";82;112000;163100;1726
Algodón;2013/14;"SANTA FE";82;113100;178080;2038
Algodón;2014/15;"SANTA FE";82;108300;112880;1567
Algodón;2015/16;"SANTA FE";82;53300;51710;1354
Algodón;2016/17;"SANTA FE";82;37500;95720;2927
Algodón;2017/18;"SANTA FE";82;53000;104900;2163
Algodón;2018/19;"SANTA FE";82;74200;29410;1662
Algodón;2019/20;"SANTA FE";82;44800;90440;2217
Algodón;2020/21;"SANTA FE";82;45900;119220;2597
Algodón;2021/22;"SANTA FE";82;53500;72550;1428
Algodón;2022/23;"SANTA FE";82;154500;256250;1703
Algodón;2023/24;"SANTA FE";82;188300;363588;2014
Algodón;2024/25;"SANTA FE";82;237300;410269;1796
Algodón;2010/11;"SANTIAGO DEL ESTERO";86;116745;280465;2450
Algodón;2011/12;"SANTIAGO DEL ESTERO";86;176500;224910;1687
Algodón;2012/13;"SANTIAGO DEL ESTERO";86;125275;142240;1394
Algodón;2013/14;"SANTIAGO DEL ESTERO";86;115625;306891;2654
Algodón;2014/15;"SANTIAGO DEL ESTERO";86;130500;326120;2626
Algodón;2015/16;"SANTIAGO DEL ESTERO";86;136700;292090;2252
Algodón;2016/17;"SANTIAGO DEL ESTERO";86;115300;330448;2896
Algodón;2017/18;"SANTIAGO DEL ESTERO";86;130080;394649;3078
Algodón;2018/19;"SANTIAGO DEL ESTERO";86;182004;551040;3286
Algodón;2019/20;"SANTIAGO DEL ESTERO";86;190650;555715;3001
Algodón;2020/21;"SANTIAGO DEL ESTERO";86;174250;500110;2951
Algodón;2021/22;"SANTIAGO DEL ESTERO";86;225800;642082;2873
Algodón;2022/23;"SANTIAGO DEL ESTERO";86;183750;339228;1933
Algodón;2023/24;"SANTIAGO DEL ESTERO";86;233900;595011;2556
Algodón;2024/25;"SANTIAGO DEL ESTERO";86;232900;440033;2021
Alpiste;2010/11;"BUENOS AIRES";6;15400;26022;1704
Alpiste;2011/12;"BUENOS AIRES";6;13900;22880;1662
Alpiste;2012/13;"BUENOS AIRES";6;13400;17660;1348
Alpiste;2013/14;"BUENOS AIRES";6;26420;51780;1960
Alpiste;2014/15;"BUENOS AIRES";6;25284;31129;1331
Alpiste;2015/16;"BUENOS AIRES";6;19184;29430;1543
Alpiste;2016/17;"BUENOS AIRES";6;31470;44123;1402
Alpiste;2017/18;"BUENOS AIRES";6;14175;22090;1569
Alpiste;2018/19;"BUENOS AIRES";6;25808;40097;1578
