Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota;
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01450"",""Aceitunas, olivas"",""2010"",""2010"",""ha"",""126400"",""E"",""Valor estimado"",""""";
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5412"",""Rendimiento"",""01450"",""Aceitunas, olivas"",""2010"",""2010"",""kg/ha"",""2799.4"",""E"",""Valor estimado"",""""";
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01450"",""Aceitunas, olivas"",""2010"",""2010"",""toneladas"",""353842"",""E"",""Valor estimado"",""""";
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01450"",""Aceitunas, olivas"",""2011"",""2011"",""ha"",""88700"",""E"",""Valor estimado"",""""";
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5412"",""Rendimiento"",""01450"",""Aceitunas, olivas"",""2011"",""2011"",""kg/ha"",""2798.9"",""E"",""Valor estimado"",""""";
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01450"",""Aceitunas, olivas"",""2011"",""2011"",""toneladas"",""248261"",""E"",""Valor estimado"",""""";
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01450"",""Aceitunas, olivas"",""2012"",""2012"",""ha"",""128900"",""E"",""Valor estimado"",""""";
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5412"",""Rendimiento"",""01450"",""Aceitunas, olivas"",""2012"",""2012"",""kg/ha"",""2800"",""E"",""Valor estimado"",""""";
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01450"",""Aceitunas, olivas"",""2012"",""2012"",""toneladas"",""360922"",""E"",""Valor estimado"",""""";
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01450"",""Aceitunas, olivas"",""2013"",""2013"",""ha"",""77400"",""E"",""Valor estimado"",""""";
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5412"",""Rendimiento"",""01450"",""Aceitunas, olivas"",""2013"",""2013"",""kg/ha"",""2798.6"",""E"",""Valor estimado"",""""";
