Producto,Anio,Area_cosechada,Produccion,Rendimiento
Aguacates,2010,3726.11,6648.6,560.0
Aguacates,2011,3839.54,6736.8,570.0
Aguacates,2012,4100.0,7069.0,580.0
Aguacates,2013,4051.54,6903.4,587.0
Aguacates,2014,4038.59,6869.3,588.0
Aguacates,2015,4029.92,6931.4,581.0
Aguacates,2016,4027.05,6971.7,578.0
Aguacates,2017,4033.27,6997.9,576.0
Aguacates,2018,4043.69,7021.8,576.0
Aguacates,2019,4056.69,7048.6,576.0
Aguacates,2020,4071.67,7068.3,576.0
Aguacates,2021,4101.62,7099.6,578.0
Aguacates,2022,4101.83,7127.5,575.0
Aguacates,2023,4112.63,7151.0,575.0
Aguacates,2024,4123.42,7174.5,575.0
Ajo verde,2010,142619.94,9575.2,14895.0
Ajo verde,2011,143308.07,9569.8,14975.0
Ajo verde,2012,143996.19,9564.3,15056.0
Ajo verde,2013,144684.32,9558.8,15136.0
Ajo verde,2014,146401.96,9563.4,15309.0
Ajo verde,2015,148459.4,9513.2,15606.0
Ajo verde,2016,148851.5,9604.1,15499.0
Ajo verde,2017,149534.16,9675.0,15456.0
Ajo verde,2018,151173.38,9736.8,15526.0
Ajo verde,2019,153045.67,9769.6,15665.0
Ajo verde,2020,154921.44,9817.4,15780.0
Ajo verde,2021,157021.05,9836.6,15963.0
Ajo verde,2022,156260.69,9829.5,15897.0
Ajo verde,2023,157090.3,9851.7,15946.0
Ajo verde,2024,156790.68,9803.2,15994.0
Albaricoques,2010,26145.48,11028.8,2371.0
Albaricoques,2011,26271.36,11097.6,2367.0
Albaricoques,2012,26397.25,11166.4,2364.0
Albaricoques,2013,26523.13,11235.3,2361.0
Albaricoques,2014,26817.68,11312.7,2371.0
Albaricoques,2015,26963.46,11383.3,2369.0
Albaricoques,2016,27015.94,11407.6,2368.0
Albaricoques,2017,26881.88,11377.9,2363.0
Albaricoques,2018,26980.97,11408.6,2365.0
Albaricoques,2019,27080.05,11434.6,2368.0
Albaricoques,2020,27323.78,11445.9,2387.0
Albaricoques,2021,27503.63,11428.3,2407.0
Albaricoques,2022,27358.77,11392.4,2401.0
Albaricoques,2023,27453.48,11402.8,2408.0
Albaricoques,2024,27548.19,11412.0,2414.0
Alcachofas,2010,51948.33,19706.2,2636.0
Alcachofas,2011,49616.31,19738.2,2514.0
Alcachofas,2012,47356.26,19765.6,2396.0
Alcachofas,2013,45191.46,19788.1,2284.0
Alcachofas,2014,43143.14,19805.6,2178.0
Alcachofas,2015,41231.89,19818.2,2081.0
Alcachofas,2016,39478.25,19826.0,1991.0
Alcachofas,2017,37720.1,19843.0,1901.0
Alcachofas,2018,36223.82,19868.3,1823.0
Alcachofas,2019,35000.0,20000.0,1750.0
Alcachofas,2020,35500.0,19722.2,1800.0
Alcachofas,2021,35480.16,19763.3,1795.0
Alcachofas,2022,31117.06,19855.2,1567.0
Alcachofas,2023,29654.82,19864.8,1493.0
Alcachofas,2024,28194.8,19874.9,1419.0
Almendras con cáscara,2010,620.0,2066.7,300.0
Almendras con cáscara,2011,620.0,2066.7,300.0
Almendras con cáscara,2012,650.0,1625.0,400.0
Almendras con cáscara,2013,669.03,1741.2,384.0
Almendras con cáscara,2014,689.19,1854.6,372.0
Almendras con cáscara,2015,714.86,1873.5,382.0
Almendras con cáscara,2016,691.02,1742.9,396.0
Almendras con cáscara,2017,688.42,1769.1,389.0
Almendras con cáscara,2018,683.72,1808.2,378.0
Almendras con cáscara,2019,680.62,1814.0,375.0
Almendras con cáscara,2020,679.27,1813.8,374.0
Almendras con cáscara,2021,689.86,1803.1,383.0
Almendras con cáscara,2022,689.59,1795.7,384.0
Almendras con cáscara,2023,691.22,1789.1,386.0
