año,rend_Cebada,rend_Grano se soja,rend_Maíz,rend_Semilla de girasol,rend_Sorgo,rend_Trigo
2010,746435.0,18130800.0,2904035.0,1495317.0,755235.0,4531520.0
2011,1121278.0,18764850.0,3747838.0,1743040.0,1012617.0,4496078.0
2012,1694545.0,17577320.0,3696300.0,1823412.0,913815.0,3018403.0
2013,1203306.0,19418824.0,4863801.0,1620081.0,889993.0,3451785.0
2014,888873.0,19252552.0,4836655.0,1261640.0,787657.0,4957300.0
2015,888873.0,19352115.0,4626880.0,1439915.0,658576.0,3953102.0
2016,1246891.0,19504648.0,5346593.0,1413963.0,673550.0,5566385.0
2017,870213.0,17335102.0,6530673.0,1819045.0,541955.0,5822173.0
2018,1209995.0,16318060.0,7138620.0,1678031.0,437463.0,6050953.0
2019,1121449.0,16575887.0,7232761.0,1875938.0,342623.0,6729838.0
2020,1078835.0,16710793.0,7730506.0,1381571.0,395204.0,6394102.0
2021,1006503.0,16466714.0,8146596.0,1628002.0,748566.0,6548477.0
2022,1335623.0,15874266.0,8768441.0,1958686.0,699887.0,5488728.0
2023,1589966.0,14356922.0,8104641.0,2453245.0,500421.0,5575352.0
2024,1296636.0,16371093.0,8736712.0,1842731.0,626182.0,6341303.0
